7335|feminine,gender-neutral,slightly young,adult-like,slightly middle-aged,tensed,slightly clear,fluent,slightly cute,cool,very intellectual,sincere,calm,slightly reassuring,slightly elegant,slightly sharp
3370|very masculine,slightly thick,slightly tensed,slightly cool,slightly intellectual,slightly calm,slightly friendly,slightly wild,lively
83|very feminine,slightly powerful,slightly clear,intellectual,slightly strict
3356|feminine,slightly young,slightly weak,slightly halting,slightly cute,slightly kind,slightly modest
7069|very masculine,gender-neutral,slightly powerful,slightly hard,cool,mature,slightly unique,wild,slightly lively,slightly strict
3592|slightly masculine,slightly gender-neutral,slightly thin,slightly muffled,slightly raspy,slightly intellectual,kind,slightly modest
6281|feminine,slightly adult-like,intellectual,slightly calm,slightly sexy,slightly strict,sharp,slightly modest
6488|feminine,young,tensed,slightly powerful,clear,intellectual,sharp
5918|masculine,middle-aged,slightly thick,tensed,slightly powerful,cool,wild,slightly intense
1392|masculine,adult-like,tensed,bright,slightly fluent,cool,intellectual,refreshing,sincere,friendly,lively,slightly light
6111|feminine,slightly powerful,clear,intellectual,calm,lively,strict,slightly sharp
1094|masculine,slightly young,slightly adult-like,slightly cool,intellectual,slightly refreshing,unique
3923|slightly masculine,slightly adult-like,dark,cool,intellectual,calm,slightly wild,slightly kind,slightly modest
7314|masculine,adult-like,tensed,slightly clear,cool,intellectual,slightly refreshing,sincere,calm,friendly
8190|feminine,tensed,slightly powerful,slightly bright,slightly clear,intellectual,slightly elegant,lively
1509|feminine,slightly young,slightly powerful,slightly bright,slightly clear,slightly cute,slightly friendly,lively,slightly sharp
7702|feminine,adult-like,slightly thin,slightly relaxed,slightly weak,intellectual,slightly calm,sexy,slightly kind,slightly modest
1069|feminine,young,slightly cute,slightly intellectual,sincere,slightly reassuring,slightly elegant,slightly kind
8063|masculine,middle-aged,powerful,bright,clear,mature,lively
7437|masculine,slightly young,slightly tensed,bright,intellectual,sincere,friendly,slightly lively
3268|masculine,middle-aged,slightly powerful,clear,cool,intellectual,slightly friendly,slightly wild
5239|masculine,adult-like,slightly powerful,slightly hard,cool,intellectual,sincere,slightly friendly,slightly reassuring,slightly wild
1569|feminine,slightly young,tensed,fluent,intellectual,friendly,unique,slightly sharp
1334|masculine,adult-like,slightly tensed,slightly powerful,slightly bright,slightly fluent,cool,intellectual,slightly refreshing,sincere,slightly calm
476|masculine,adult-like,thick,slightly powerful,slightly hard,cool,intellectual,sincere,wild,slightly kind
4225|feminine,young,tensed,slightly bright,halting,intellectual,friendly,unique
6492|masculine,middle-aged,tensed,slightly powerful,slightly dark,slightly hard,cool,sincere,calm,mature,reassuring,wild,kind,slightly modest
783|feminine,slightly young,tensed,clear,fluent,intellectual,calm,sexy,sharp
3699|masculine,adult-like,tensed,hard,cool,intellectual,refreshing,sincere,calm,slightly friendly,slightly wild,slightly kind
3570|feminine,adult-like,thin,slightly relaxed,slightly weak,slightly dark,slightly muffled,raspy,intellectual,calm,reassuring,kind,modest
298|feminine,adult-like,tensed,slightly bright,fluent,intellectual,slightly friendly,unique,slightly sharp
816|masculine,middle-aged,thick,tensed,powerful,intellectual,sincere,calm,mature,friendly,reassuring,unique,wild
1353|masculine,adult-like,thick,tensed,slightly bright,cool,intellectual,sincere,slightly mature,slightly friendly,wild
8632|masculine,slightly young,slightly weak,slightly bright,soft,slightly refreshing,slightly sincere,calm,slightly friendly,reassuring,kind,modest
976|feminine,adult-like,thin,relaxed,slightly weak,slightly dark,muffled,raspy,calm,slightly sexy,slightly sharp,modest
3819|masculine,adult-like,middle-aged,thick,tensed,powerful,cool,sincere,calm,mature,reassuring,wild,lively
7832|masculine,adult-like,thick,powerful,intellectual,sincere,calm,friendly,reassuring,slightly wild,kind
4277|masculine,adult-like,slightly powerful,slightly bright,slightly fluent,cool,calm,slightly mature,friendly,unique,wild,lively
4278|masculine,adult-like,tensed,slightly powerful,clear,mature,friendly,unique,wild,lively,slightly strict,slightly sharp
1746|masculine,adult-like,slightly weak,muffled,halting,slightly refreshing,friendly,unique,slightly kind,modest
4487|feminine,adult-like,relaxed,slightly muffled,raspy,slightly calm,friendly,unique,slightly lively,slightly intense,slightly sharp
159|slightly masculine,adult-like,slightly thin,slightly weak,cool,refreshing,calm,slightly friendly,reassuring,kind,modest
4064|feminine,adult-like,slightly bright,fluent,intellectual,calm,friendly,reassuring,elegant,slightly sexy,kind
1040|masculine,adult-like,bright,clear,fluent,intellectual,refreshing,slightly calm,friendly,reassuring,unique,lively
3825|middle-aged,thick,tensed,powerful,hard,fluent,cool,intellectual,sincere,calm,mature,friendly,reassuring,elegant,wild,lively,kind
8808|masculine,adult-like,tensed,bright,clear,fluent,cool,intellectual,refreshing,sincere,slightly mature,friendly,reassuring,lively,kind
551|masculine,slightly young,relaxed,bright,soft,muffled,slightly halting,raspy,slightly refreshing,friendly,reassuring,unique,kind,modest
7463|masculine,middle-aged,tensed,powerful,fluent,intellectual,calm,mature,friendly,unique,wild,lively,slightly strict
