6426|feminine,adult-like,slightly thin,tensed,slightly hard,very clear,slightly cool,intellectual,refreshing,sincere,slightly calm,elegant,slightly sexy,slightly strict,slightly sharp
1379|masculine,adult-like,slightly middle-aged,slightly thick,tensed,bright,soft,clear,fluent,cool,very intellectual,very refreshing,sincere,calm,very friendly,reassuring,slightly sexy,sweet,kind
3647|feminine,slightly gender-neutral,slightly young,adult-like,slightly thin,tensed,bright,soft,very clear,very fluent,cool,very intellectual,refreshing,sincere,very calm,friendly,reassuring,slightly elegant,sweet,very kind
922|very masculine,adult-like,slightly middle-aged,thick,very tensed,slightly powerful,very bright,clear,fluent,very cool,very intellectual,refreshing,sincere,calm,slightly mature,friendly,sexy,sweet,lively,kind
4262|very feminine,adult-like,middle-aged,thin,very tensed,slightly powerful,bright,slightly hard,very clear,intellectual,sincere,calm,slightly unique,very elegant,sexy,slightly strict
6455|very feminine,young,slightly adult-like,very thin,slightly dark,soft,cute,slightly intellectual,refreshing,slightly sincere,slightly sweet,slightly kind,slightly modest,slightly light
28|slightly feminine,very gender-neutral,very middle-aged,slightly old,slightly thin,slightly relaxed,slightly dark,very soft,clear,fluent,very intellectual,very sincere,very calm,mature,friendly,very reassuring,elegant,slightly sweet,kind,slightly modest
1578|very feminine,slightly young,slightly adult-like,thin,tensed,slightly powerful,bright,slightly hard,clear,slightly cute,very refreshing,slightly sincere,slightly calm,friendly,reassuring,slightly sexy,lively,slightly strict,slightly sharp
4570|very masculine,very adult-like,very middle-aged,slightly old,very thick,tensed,powerful,bright,soft,clear,fluent,very cool,very intellectual,refreshing,sincere,very calm,mature,friendly,reassuring,slightly elegant,sexy,lively,kind
1841|slightly feminine,very gender-neutral,very adult-like,slightly middle-aged,slightly thin,slightly tensed,slightly dark,hard,clear,fluent,very cool,very intellectual,refreshing,sincere,slightly calm,friendly,slightly reassuring,slightly elegant,slightly sexy,strict,slightly modest
1222|masculine,slightly young,adult-like,slightly thick,slightly tensed,slightly powerful,bright,hard,clear,fluent,slightly cool,slightly intellectual,slightly sincere,slightly calm,friendly,slightly reassuring,slightly sexy,wild,lively,slightly kind
7766|feminine,slightly gender-neutral,slightly young,very adult-like,relaxed,weak,dark,slightly soft,clear,fluent,slightly cute,intellectual,sincere,very calm,slightly friendly,reassuring,slightly elegant,very sexy,slightly sweet,kind,very modest
774|feminine,slightly gender-neutral,slightly young,adult-like,slightly thin,slightly relaxed,slightly weak,slightly dark,soft,clear,slightly fluent,slightly cool,intellectual,sincere,calm,slightly friendly,slightly reassuring,slightly elegant,slightly sexy,kind,modest
51|very masculine,young,adult-like,slightly thick,tensed,slightly powerful,very bright,slightly hard,very clear,slightly halting,cool,slightly intellectual,very refreshing,sincere,calm,very friendly,lively,slightly kind,slightly light
6726|feminine,slightly gender-neutral,very adult-like,slightly middle-aged,slightly thin,tensed,slightly powerful,bright,hard,very clear,fluent,cool,intellectual,sincere,calm,slightly friendly,slightly reassuring,elegant,sexy,slightly lively,slightly strict
4703|very feminine,very young,slightly adult-like,very thin,slightly relaxed,slightly weak,bright,slightly clear,fluent,cute,slightly intellectual,slightly calm,slightly reassuring,unique,slightly elegant,sexy,slightly sweet,kind,modest
3733|slightly feminine,very gender-neutral,very adult-like,middle-aged,slightly thin,tensed,slightly powerful,slightly bright,hard,clear,very fluent,slightly cool,very intellectual,very sincere,very calm,slightly friendly,reassuring,lively,strict
7398|feminine,gender-neutral,slightly young,slightly adult-like,slightly thin,slightly relaxed,slightly weak,slightly dark,slightly hard,slightly clear,fluent,slightly cute,slightly intellectual,slightly sincere,calm,very elegant,slightly sexy,slightly strict,slightly sharp
7255|very feminine,very young,slightly adult-like,thin,tensed,slightly powerful,very bright,slightly soft,slightly muffled,very fluent,slightly cute,intellectual,refreshing,slightly sincere,slightly calm,slightly unique,lively,kind,slightly modest
923|feminine,slightly gender-neutral,young,adult-like,powerful,very soft,clear,fluent,slightly cool,intellectual,sincere,calm,slightly friendly,reassuring,very elegant,slightly sexy,sweet,slightly lively,kind,slightly modest
4863|very masculine,very adult-like,middle-aged,thick,tensed,powerful,slightly bright,slightly soft,clear,fluent,very cool,very intellectual,refreshing,sincere,calm,slightly mature,friendly,reassuring,slightly wild,slightly sweet,lively,very kind
7553|very masculine,very adult-like,very middle-aged,slightly old,very thick,very tensed,very powerful,bright,slightly soft,very clear,fluent,very cool,intellectual,sincere,very calm,very mature,friendly,reassuring,very sexy,wild,slightly sweet,lively,very kind
